INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AREA_UNIQUE,AGE
1004,2011,131,1,1,3,Abnormal,1,1967,Commercial,AllPub,Paved,A,7600000,Karapakkam,44
909,2012,70,1,1,3,Abnormal,1,1995,Commercial,ELO,Gravel,RL,13159200,Adayar,17
1226,2009,84,1,1,3,Abnormal,1,1992,Others,AllPub,Gravel,C,7406250,Karapakkam,17
1220,2014,36,2,1,4,Partial,0,1988,Commercial,NoSeWa,No Access,RH,12394750,Chrompet,26
1167,2007,137,1,1,3,Partial,0,1979,Others,AllPub,No Access,RL,8488790,Chrompet,28
771,2011,175,1,1,2,Adjland,0,2009,Others,NoSeWa,Paved,RM,8308970,Chrompet,2
1196,2010,137,1,1,3,Family,0,1979,Others,NoSeWa,No Access,RL,8774370,Chrompet,31
1056,2007,83,1,1,3,Partial,1,1996,Others,NoSeWa,Paved,RH,9386490,Adayar,11
1865,2010,157,3,2,5,Family,0,1977,Commercial,NoSeWa,Paved,RM,15499680,Velachery,33
1868,2009,148,3,2,5,Family,0,1991,Commercial,NoSeWa,Gravel,RH,15714080,Velachery,18
1639,2009,175,2,2,4,Normal_sale,1,1978,House,ELO,Gravel,I,8656000,Karapakkam,31
1136,2008,69,1,1,3,Normal_sale,1,1972,Others,AllPub,Paved,A,8287550,Adayar,36
1902,2012,168,2,1,5,Family,1,1991,Commercial,ELO,Paved,RL,21203240,Anna_Nagar,21
2010,2009,114,3,2,5,Partial,0,1981,Others,NoSeWa,Gravel,RH,10925400,KK_Nagar,28
1130,2011,29,1,1,3,Family,1,1956,Commercial,ELO,Paved,RH,13383350,Adayar,55
1301,2010,59,1,1,3,Normal_sale,1,2000,Others,NoSeWa,Gravel,C,7939625,Karapakkam,10
1981,2009,173,2,1,5,Adjland,0,1991,House,ELO,No Access,RL,12872430,Anna_Nagar,18
2114,2010,46,3,2,5,Adjland,1,1975,Commercial,NoSeWa,Gravel,RH,17564820,KK_Nagar,35
856,2011,36,1,1,3,Adjland,1,1978,Others,NoSeWa,Gravel,RM,10383420,Chrompet,33
931,2011,16,1,1,3,Adjland,0,1970,Commercial,AllPub,Paved,A,6944500,Karapakkam,41
2492,2009,113,4,2,6,Abnormal,0,2009,Commercial,NoSeWa,Paved,RL,18725520,KK_Nagar,0
851,2011,105,1,1,2,Partial,0,1986,House,AllPub,No Access,C,3572250,Karapakkam,25
1710,2009,15,1,1,4,Normal_sale,1,1999,Commercial,AllPub,Gravel,RH,20215970,Anna_Nagar,10
1412,2010,28,2,2,4,Adjland,0,1994,House,ELO,Gravel,RL,8379000,Karapakkam,16
779,2006,51,1,1,2,Normal_sale,0,2008,House,NoSeWa,No Access,C,5290635,Adayar,-2
940,2010,167,1,1,3,Adjland,0,1980,House,AllPub,Paved,RH,5857750,Karapakkam,30
1926,2008,49,3,2,5,Family,1,1981,Commercial,NoSeWa,Paved,RM,17006780,KK_Nagar,27
545,2012,154,1,1,2,Partial,0,2003,Others,ELO,No Access,RH,3854375,Karapakkam,9
1249,2009,25,1,1,3,Adjland,1,1972,Others,ELO,Gravel,RH,8594875,Karapakkam,37
1894,2013,187,2,1,5,Partial,1,1978,House,NoSeWa,Gravel,RL,13549250,T_Nagar,35
1469,2011,200,2,2,4,Abnormal,0,2000,Commercial,NoSeWa,No Access,C,9480750,Karapakkam,11
